ALSC1_4_DNA406	32	136	37	37	31	52	44	61	123	91	105	90	273	272	277	251	293	286	417	423	514	79	GYP8_HapA	31
ALSC1_5_DNA407	3	98	7	21	28	22	32	50	85	60	76	64	210	208	213	197	225	226	340	330	412	51	balsamifera_cp	3
BOY11_DNA468	21	106	28	23	30	36	38	40	99	70	88	77	240	242	245	229	245	252	383	368	452	63	balsamifera_cp	21
BOY12_DNA469	22	114	26	22	22	43	37	50	96	71	86	74	240	237	237	228	250	253	365	367	457	66	balsamifera_cp	22
BOY8_DNA467	8	98	17	20	32	25	34	49	96	63	88	73	240	238	241	223	252	246	373	363	452	54	balsamifera_cp	8
BULA11_4_DNA408	240	334	247	254	253	261	266	288	271	257	270	259	49	78	80	20	196	178	320	314	425	275	Ptri_Nisq	20
BULG11_5_DNA464	240	339	243	252	254	256	265	289	271	256	265	264	46	79	76	19	193	181	320	313	414	278	Ptri_Nisq	19
CAR11_DNA471	20	115	25	23	26	39	38	40	104	71	92	74	237	233	242	226	250	259	378	366	458	65	balsamifera_cp	20
CAR12_DNA472	20	112	27	22	29	35	37	46	101	68	89	78	239	244	251	226	254	255	379	374	456	65	balsamifera_cp	20
DENB17_4	70	73	68	73	71	78	76	71	82	71	83	71	15	30	35	10	69	57	105	84	123	74	Ptri_Nisq	10
DUN10_DNA474	12	113	18	28	34	28	40	55	101	70	93	77	233	240	240	224	257	247	372	372	463	62	balsamifera_cp	12
DUN11_DNA475	17	105	21	18	24	34	35	31	95	67	86	78	239	243	247	231	246	244	375	372	461	65	balsamifera_cp	17
DUN13_DNA476	6	96	16	26	28	21	37	48	93	66	79	66	233	241	238	226	258	251	379	375	462	49	balsamifera_cp	6
DUN14_DNA477	7	94	15	24	30	22	35	51	98	70	87	70	231	231	233	223	247	249	367	372	458	57	balsamifera_cp	7
FBK10_DNA292	25	111	32	29	27	39	39	40	108	72	103	79	244	246	263	234	265	256	395	412	482	63	balsamifera_cp	25
FRE1_DNA249	14	112	20	33	37	31	41	61	105	77	98	83	252	250	248	230	267	258	388	382	482	63	balsamifera_cp	14
FRE14_DNA358	24	118	37	18	35	43	17	60	112	76	100	83	253	253	255	243	286	274	404	396	489	71	LAB13_HapA1	17
FTM8_DNA296	24	113	31	28	24	38	39	45	115	82	99	83	254	256	265	242	274	265	407	397	482	70	balsamifera_cp	24
GPR11_DNA256	26	120	32	30	25	42	39	52	119	87	109	86	267	257	266	243	282	271	420	407	498	74	GYP8_HapA	25
GPR12_DNA362	81	152	87	94	96	92	100	122	26	48	30	86	257	266	264	247	277	271	413	389	492	99	NWL7_HapD	26
GPR13_DNA363	67	140	72	78	83	88	92	96	49	37	39	74	241	257	250	236	273	259	387	374	463	96	POR12_HapD	37
GPR9_DNA255	23	123	33	30	30	39	43	50	121	74	102	89	254	258	265	243	275	270	394	393	481	75	balsamifera_cp	23
JEFF30_1_DNA459	237	332	238	250	254	247	263	280	266	250	263	262	47	75	74	21	188	177	318	311	411	269	Ptri_Nisq	21
MAN9_DNA305	22	96	24	9	39	41	17	47	107	69	94	76	232	236	246	226	247	251	371	369	461	61	FRE13_HapA1	9
MIN11_DNA540	79	148	81	89	93	95	94	106	28	47	30	82	279	271	261	261	283	275	423	401	493	101	NWL7_HapD	28
MIN14_DNA541	6	115	19	26	29	22	36	43	107	72	95	81	251	257	253	235	270	265	394	391	478	67	balsamifera_cp	6
MTN11_DNA543	26	111	32	12	39	44	17	56	106	77	97	85	257	265	261	244	279	264	403	390	481	75	FRE13_HapA1	12
MTN3_DNA542	24	102	29	13	33	37	25	49	111	74	97	81	252	253	253	237	274	262	392	392	484	66	FRE13_HapA1	13
NWL12_DNA546	21	124	25	25	24	42	39	48	112	78	98	88	248	257	253	236	268	265	406	404	501	74	balsamifera_cp	21
NWL2_DNA544	22	114	28	31	30	44	40	47	118	76	102	92	253	258	260	243	268	266	405	396	489	72	balsamifera_cp	22
NWL5_DNA545	22	106	28	30	25	39	41	45	105	72	90	80	248	257	255	234	254	252	394	382	461	68	balsamifera_cp	22
POR4_DNA547	23	115	27	28	31	42	40	45	112	75	100	85	246	251	250	238	264	264	397	394	480	71	balsamifera_cp	23
QBKR16_4_DNA405	22	103	27	24	27	35	36	40	94	68	85	76	228	226	235	225	248	248	369	361	449	60	balsamifera_cp	22
SKWD24_5	96	104	97	99	97	111	105	103	101	99	98	94	13	35	35	5	80	62	131	111	140	105	Ptri_Nisq	5
SLMD28_3	108	115	108	112	113	121	120	120	114	109	109	111	13	43	43	2	98	83	157	123	171	110	Ptri_Nisq	2
STL1_DNA564	20	108	27	28	18	34	34	41	112	73	98	81	246	250	246	233	256	251	395	382	466	67	GYP8_HapA	18
STL10_DNA566	8	110	17	27	33	33	36	53	108	75	94	76	251	252	256	242	271	266	398	385	484	65	balsamifera_cp	8
STL13_DNA567	21	126	27	23	25	35	36	43	115	76	100	86	250	262	263	245	277	271	398	406	491	73	balsamifera_cp	21
STL8_DNA565	25	109	31	32	29	42	40	38	108	70	94	83	249	253	253	236	265	255	396	391	475	76	balsamifera_cp	25
